City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Tessalit,ML,2022-04-01 13:28:53,20.1986,1.0114,97.34,6,99,5.23
60,Saint-Augustin,CA,2022-04-01 13:28:54,51.226,-58.6502,31.01,93,100,6.4
61,Ribeira Grande,PT,2022-04-01 13:28:54,38.5167,-28.7,63.0,88,75,24.16
62,Azanka,RU,2022-04-01 13:28:54,58.0401,64.7893,29.98,88,100,4.0
63,Margate,GB,2022-04-01 13:25:42,51.3813,1.3862,44.69,57,100,18.01
64,Poya,NC,2022-04-01 13:28:55,-21.35,165.15,78.03,90,24,2.06
65,Kavieng,PG,2022-04-01 13:28:55,-2.5744,150.7967,81.09,80,100,6.24
66,Barrow,US,2022-04-01 13:28:55,71.2906,-156.7887,-11.18,70,0,18.41
67,Orlik,RU,2022-04-01 13:28:56,52.5178,99.825,17.2,84,24,4.72
68,Dikson,RU,2022-04-01 13:28:56,73.5069,80.5464,5.97,91,100,7.05
69,Los Llanos De Aridane,ES,2022-04-01 13:28:56,28.6585,-17.9182,64.15,81,75,8.05
70,Luderitz,NA,2022-04-01 13:28:57,-26.6481,15.1594,73.83,52,0,29.68
71,Bowmore,US,2022-04-01 13:28:57,34.9421,-79.3031,60.98,54,0,12.66
72,Arraial Do Cabo,BR,2022-04-01 13:28:57,-22.9661,-42.0278,76.86,88,75,5.75
73,Lorengau,PG,2022-04-01 13:28:58,-2.0226,147.2712,81.9,78,100,9.33
74,Kapuskasing,CA,2022-04-01 13:24:14,49.4169,-82.4331,14.09,62,20,11.5
75,Birao,CF,2022-04-01 13:28:58,10.2849,22.7882,108.21,6,11,7.29
76,Chokurdakh,RU,2022-04-01 13:28:59,70.6333,147.9167,-24.25,100,16,4.85
77,Rio Grande,BR,2022-04-01 13:28:59,-32.035,-52.0986,66.31,55,65,9.66
78,Shahreza,IR,2022-04-01 13:28:59,32.0339,51.8794,70.12,16,0,6.08
79,Port Keats,AU,2022-04-01 13:29:00,-14.25,129.55,81.48,76,3,4.97
